Unnamed: 0,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
0,Akasa Air,BOM,DEL,2h 15m,direct,2024-06-22,19:00,21:15,"₹ 4,519"
1,Air India,BOM,DEL,2h 10m,direct,2024-06-22,08:25,10:35,"₹ 4,750"
2,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,06:30,08:40,"₹ 4,852"
3,Akasa Air,BOM,DEL,2h 15m,direct,2024-06-22,07:50,10:05,"₹ 4,519"
4,Akasa Air,BOM,DEL,2h 20m,direct,2024-06-22,12:55,15:15,"₹ 4,519"
5,Air India,BOM,DEL,2h 15m,direct,2024-06-22,11:15,13:30,"₹ 4,750"
6,Air India,BOM,DEL,2h 15m,direct,2024-06-22,19:00,21:15,"₹ 4,750"
7,Air India,BOM,DEL,2h 20m,direct,2024-06-22,09:00,11:20,"₹ 4,750"
8,Air India,BOM,DEL,2h 20m,direct,2024-06-22,08:00,10:20,"₹ 4,750"
9,Air India,BOM,DEL,2h 20m,direct,2024-06-22,18:00,20:20,"₹ 4,750"
10,Vistara,BOM,DEL,2h 15m,direct,2024-06-22,11:50,14:05,"₹ 4,852"
11,Vistara,BOM,DEL,2h 25m,direct,2024-06-22,15:45,18:10,"₹ 4,852"
12,Vistara,BOM,DEL,2h 05m,direct,2024-06-22,07:30,09:35,"₹ 5,268"
13,Vistara,BOM,DEL,2h 05m,direct,2024-06-22,19:10,21:15,"₹ 5,450"
14,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,12:35,14:45,"₹ 5,450"
15,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,18:30,20:40,"₹ 5,450"
16,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,19:45,21:55,"₹ 5,450"
17,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,18:00,20:10,"₹ 4,825"
18,IndiGo,BOM,DEL,2h 05m,direct,2024-06-22,07:00,09:05,"₹ 4,877"
19,IndiGo,BOM,DEL,2h 05m,direct,2024-06-22,06:15,08:20,"₹ 4,877"
20,IndiGo,BOM,DEL,2h 05m,direct,2024-06-22,07:45,09:50,"₹ 4,877"
21,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,20:00,22:10,"₹ 4,877"
22,IndiGo,BOM,DEL,2h 05m,direct,2024-06-22,08:30,10:35,"₹ 4,930"
23,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,17:00,19:10,"₹ 4,982"
24,IndiGo,BOM,DEL,2h 05m,direct,2024-06-22,15:30,17:35,"₹ 5,035"
25,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-22,09:05,11:15,"₹ 5,086"
26,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,19:00,21:10,"₹ 5,216"
27,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,14:15,16:25,"₹ 5,245"
28,Air India,BOM,DEL,2h 15m,direct,2024-06-22,13:00,15:15,"₹ 5,313"
29,Air India,BOM,DEL,2h 15m,direct,2024-06-22,07:00,09:15,"₹ 5,313"
30,Air India,BOM,DEL,2h 20m,direct,2024-06-22,15:35,17:55,"₹ 5,313"
31,Air India,BOM,DEL,2h 30m,direct,2024-06-22,16:00,18:30,"₹ 5,313"
32,Vistara,BOM,DEL,2h 15m,direct,2024-06-22,17:25,19:40,"₹ 5,673"
33,Air India,BOM,DEL,2h 15m,direct,2024-06-22,10:00,12:15,"₹ 5,838"
34,IndiGo,BOM,DEL,2h 15m,direct,2024-06-22,12:15,14:30,"₹ 4,930"
35,IndiGo,BOM,DEL,2h 20m,direct,2024-06-22,10:50,13:10,"₹ 5,111"
36,IndiGo,BOM,DEL,2h 00m,direct,2024-06-22,09:45,11:45,"₹ 5,567"
37,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,13:15,15:25,"₹ 5,636"
38,Vistara,BOM,DEL,2h 15m,direct,2024-06-22,20:40,22:55,"₹ 6,410"
39,Air India,BOM,DEL,2h 15m,direct,2024-06-22,21:00,23:15,"₹ 4,550"
40,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,22:50,01:00+1,"₹ 4,852"
41,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,05:55,08:05,"₹ 4,852"
42,Vistara,BOM,DEL,2h 15m,direct,2024-06-22,21:55,00:10+1,"₹ 4,852"
43,Vistara,BOM,DEL,4h 05m,1 stop,2024-06-22,06:20,10:25,"₹ 5,151"
44,Air India,BOM,DEL,3h 40m,direct,2024-06-22,07:40,11:20,"₹ 5,838"
45,Vistara,BOM,DEL,2h 10m,direct,2024-06-22,08:45,10:55,"₹ 7,817"
46,IndiGo,BOM,DEL,4h 45m,1 stop,2024-06-22,18:25,23:10,"₹ 4,594"
47,IndiGo,BOM,DEL,5h 00m,1 stop,2024-06-22,20:00,01:00+1,"₹ 4,594"
48,SpiceJet,BOM,DEL,2h 30m,direct,2024-06-22,04:00,06:30,"₹ 4,797"
49,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-22,23:10,01:20+1,"₹ 4,824"
50,IndiGo,BOM,DEL,2h 05m,direct,2024-06-22,23:30,01:35+1,"₹ 4,825"
51,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,21:15,23:25,"₹ 4,825"
52,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,22:15,00:25+1,"₹ 4,825"
53,IndiGo,BOM,DEL,2h 15m,direct,2024-06-22,04:50,07:05,"₹ 4,956"
54,IndiGo,BOM,DEL,4h 40m,1 stop,2024-06-22,08:20,13:00,"₹ 5,090"
55,IndiGo,BOM,DEL,2h 10m,direct,2024-06-22,03:00,05:10,"₹ 5,142"
56,Air India,BOM,DEL,5h 10m,1 stop,2024-06-22,18:35,23:45,"₹ 5,533"
57,Air India,BOM,DEL,3h 40m,1 stop,2024-06-22,07:40,11:20,"₹ 6,085"
58,Vistara,BOM,DEL,2h 20m,direct,2024-06-22,14:40,17:00,"₹ 9,077"
59,Vistara,BOM,DEL,2h 15m,direct,2024-06-22,10:25,12:40,"₹ 9,876"
